,panel,xm,ym,ds,Qy,Qx,qs
503,lower,0.123450408,-0.0018156414600000001,0.0005901799999999957,-5.638241236493024e-06,9.237030402059402e-07,2706.30237311693
504,lower,0.12404054,-0.001824364165,0.0005902130000000061,-5.620506250673174e-06,9.14991558791133e-07,2682.639453160431
505,lower,0.1246307045,-0.00183313232,0.0005902460000000165,-5.6024219310190065e-06,9.06274414931402e-07,2658.9434198639433
506,lower,0.1252209025,-0.00184194846,0.0005902809999999981,-5.583988156347694e-06,8.975515501685548e-07,2635.214114323948
507,lower,0.1258111345,-0.00185081509,0.0005903159999999796,-5.565204865274633e-06,8.888229340804067e-07,2611.451453933773
508,lower,0.12640140049999998,-0.0018597346999999998,0.0005903510000000167,-5.546071996411648e-06,8.800885347694967e-07,2587.6553522369377
509,lower,0.126991701,-0.0018687097500000001,0.0005903869999999978,-5.526589455072191e-06,8.713483040762135e-07,2563.825678594169
510,lower,0.12758203699999998,-0.0018777426749999999,0.0005904240000000061,-5.5067571442046626e-06,8.626021923703492e-07,2539.962298404632
511,lower,0.1281724095,-0.0018868358899999998,0.0005904599999999871,-5.486575032752693e-06,8.5385017820694e-07,2516.065154079061
512,lower,0.1287628185,-0.001895991795,0.0005904989999999943,-5.466042952344172e-06,8.450921794185144e-07,2492.134022369245
513,lower,0.129353264,-0.0019052127649999999,0.0005905370000000021,-5.445160870733734e-06,8.363281717082996e-07,2468.168838181924
514,lower,0.129943747,-0.00191450114,0.0005905760000000093,-5.423928684949302e-06,8.275580997177628e-07,2444.1694516578455
515,lower,0.1305342685,-0.0019238592549999998,0.0005906149999999888,-5.402346326194525e-06,8.187819215329211e-07,2420.135749814291
516,lower,0.1311248285,-0.001933289415,0.0005906549999999955,-5.3804136885358075e-06,8.099995790013543e-07,2396.06757534611
517,lower,0.13171542749999998,-0.0019427939,0.0005906960000000017,-5.3581306639679075e-06,8.012110125869199e-07,2371.9647672286865
518,lower,0.13230606649999999,-0.00195237498,0.0005907370000000078,-5.335497180432227e-06,7.924161762627496e-07,2347.8272015757893
519,lower,0.13289674550000002,-0.001962034895,0.0005907790000000135,-5.312513126960592e-06,7.836150077716462e-07,2323.6547101068827
520,lower,0.133487465,-0.001971775865,0.0005908209999999914,-5.289178430007717e-06,7.748074584131811e-07,2299.44716188124
521,lower,0.13407822549999998,-0.001981600095,0.000590862999999997,-5.265493015727781e-06,7.659934781738591e-07,2275.204422516011
522,lower,0.13466902749999998,-0.00199150977,0.0005909070000000016,-5.241456728620469e-06,7.571729858844878e-07,2250.9262720435986
523,lower,0.135259872,-0.0020015070500000003,0.0005909510000000062,-5.217069491579786e-06,7.483459289027532e-07,2226.612569050312
524,lower,0.135850759,-0.0020115940750000004,0.0005909959999999825,-5.192331185635463e-06,7.395122383629247e-07,2202.263127591087
525,lower,0.13644168899999998,-0.0020217729700000003,0.0005910400000000149,-5.167241774642502e-06,7.306718740155357e-07,2177.877840740606
526,lower,0.137032663,-0.0020320458350000003,0.0005910859999999907,-5.141801094510224e-06,7.21824749485529e-07,2153.456474496024
527,lower,0.137623681,-0.0020424147550000002,0.0005911309999999947,-5.116009108490803e-06,7.129708220245612e-07,2128.998915379747
528,lower,0.138214743,-0.002052881795,0.0005911779999999978,-5.089865648935569e-06,7.041100027164168e-07,2104.504922571199
529,lower,0.13880585,-0.002063449,0.0005912260000000003,-5.063370588865809e-06,6.952422163581628e-07,2079.9742931684764
530,lower,0.13939700300000002,-0.0020741184,0.0005912720000000038,-5.036523935146473e-06,6.863674315293979e-07,2055.406945542768
531,lower,0.13998820150000002,-0.0020848919999999996,0.0005913210000000058,-5.009325468498182e-06,6.774855405719358e-07,2030.8025872574785
532,lower,0.140579446,-0.0020957717949999996,0.0005913690000000082,-4.9817751503678174e-06,6.685964946607284e-07,2006.1610888835444
533,lower,0.1411707375,-0.0021067597549999997,0.0005914179999999825,-4.9538728490206636e-06,6.597002137384061e-07,1981.482234602117
534,lower,0.1417620765,-0.00211785783,0.0005914680000000117,-4.925618430645481e-06,6.507966165453715e-07,1956.7658053482219
535,lower,0.1423534635,-0.002129067965,0.0005915180000000131,-4.897011807715507e-06,6.418856356863104e-07,1932.011620664304
536,lower,0.142944898,-0.0021403920749999998,0.0005915679999999868,-4.868052892992564e-06,6.32967202616247e-07,1907.2194971080019
537,lower,0.143536381,-0.00215183206,0.0005916199999999872,-4.838741499551145e-06,6.2404121747431e-07,1882.3891642875828
538,lower,0.14412791349999998,-0.0021633898049999998,0.0005916700000000163,-4.809077636860899e-06,6.151076395932854e-07,1857.5205165821017
539,lower,0.14471949499999998,-0.002175067175,0.0005917229999999885,-4.779061064592084e-06,6.061663517011031e-07,1832.6132353632586
540,lower,0.145311126,-0.0021868660250000003,0.0005917750000000166,-4.7486917420631834e-06,5.972172957934085e-07,1807.667167137553
541,lower,0.1459028075,-0.0021987881900000002,0.0005918289999999882,-4.7179694740358765e-06,5.882603673933392e-07,1782.682029031806
542,lower,0.14649454,-0.0022108354800000002,0.0005918810000000163,-4.6868942714274256e-06,5.79295521446671e-07,1757.6577040534887
543,lower,0.1470863235,-0.002223009695,0.0005919359999999874,-4.65546588322637e-06,5.703226360937717e-07,1732.5938610426856
544,lower,0.147678158,-0.00223531262,0.0005919889999999872,-4.623684321517119e-06,5.613416641420007e-07,1707.4903774880995
545,lower,0.1482700445,-0.00224774602,0.0005920450000000133,-4.591549329945166e-06,5.523524814907396e-07,1682.3469161016567
546,lower,0.14886198350000002,-0.0022603116449999997,0.0005921000000000121,-4.559060866003815e-06,5.43355023652735e-07,1657.1633063774111
547,lower,0.14945397500000002,-0.00227301123,0.0005921559999999826,-4.526218778029756e-06,5.343491947121433e-07,1631.9392900689054
548,lower,0.15004602,-0.0022858465,0.0005922120000000086,-4.4930229680365955e-06,5.253349128923252e-07,1606.67464864254
549,lower,0.150638118,-0.0022988191550000004,0.0005922680000000069,-4.459473338325091e-06,5.163120953869915e-07,1581.3691608929953
550,lower,0.15123026950000001,-0.0023119308749999998,0.0005923259999999764,-4.425569676414575e-06,5.072806278767467e-07,1556.022517358637
551,lower,0.15182247599999998,-0.0023251833349999997,0.0005923830000000019,-4.391311938864737e-06,4.982404407292193e-07,1530.6345340587127
552,lower,0.152414737,-0.002338578195,0.0005924409999999991,-4.3566999674534105e-06,4.891914327960653e-07,1505.2049387486536
553,lower,0.153007053,-0.002352117095,0.0005925000000000236,-4.321733601875909e-06,4.801335018922775e-07,1479.733456369478
554,lower,0.1535994245,-0.00236580166,0.0005925589999999925,-4.286412739351924e-06,4.7106656010515963e-07,1454.219852124361
555,lower,0.154191851,-0.002379633495,0.0005926179999999892,-4.250737277387627e-06,4.619905185450799e-07,1428.6638886822743
556,lower,0.154784334,-0.0023936141999999997,0.0005926780000000131,-4.214707051798195e-06,4.529052720189121e-07,1403.0652829310964
557,lower,0.155376874,-0.0024077453599999996,0.0005927379999999816,-4.178321957699604e-06,4.4381072966857666e-07,1377.4237922778138
558,lower,0.15596947,-0.00242202853,0.000592799000000005,-4.141581828812983e-06,4.347067843295511e-07,1351.739128356172
559,lower,0.15656212349999998,-0.002436465265,0.0005928600000000006,-4.104486558752173e-06,4.2559334321674323e-07,1326.0110434659116
560,lower,0.157154835,-0.00245105711,0.0005929219999999957,-4.0670359776612834e-06,4.164702972143079e-07,1300.239243961179
