index,s,x_centroidal,y_centroidal,q_s
98,0.0598530675,0.026798694,0.0201564993,-4080.95017
99,0.0604808802,0.026173076,0.0202089476,-4135.99691
100,0.061108716,0.025547326,0.0202600826,-4191.22604
101,0.0617365746,0.024921447,0.0203099014,-4246.63386
102,0.0623644575,0.02429544,0.0203584009,-4302.21683
103,0.0629923653,0.023669307,0.0204055781,-4357.97132
104,0.0636202986,0.02304305,0.02045143,-4413.8937
105,0.064248259,0.02241667,0.0204959536,-4469.98042
106,0.0648762471,0.021790169,0.0205391457,-4526.22782
107,0.0655042626,0.02116355,0.0205810032,-4582.63216
108,0.0661323081,0.020536813,0.020621523,-4639.18995
109,0.0667603823,0.019909962,0.020660702,-4695.89734
110,0.0673884878,0.019282997,0.0206985369,-4752.75083
111,0.0680166255,0.01865592,0.0207350245,-4809.74674
112,0.0686447949,0.018028734,0.0207701616,-4866.88128
113,0.069272997,0.017401441,0.020803945,-4924.15075
114,0.0699012334,0.016774042,0.0208363712,-4981.55152
115,0.0705295039,0.01614654,0.0208674371,-5039.0798
116,0.0711578104,0.015518936,0.0208971392,-5096.73195
117,0.0717861536,0.014891232,0.0209254741,-5154.50423
118,0.0724145334,0.014263431,0.0209524385,-5212.39281
119,0.0730429506,0.013635535,0.0209780289,-5270.39394
120,0.0736714072,0.013007545,0.0210022418,-5328.50395
121,0.0742999031,0.012379464,0.0210250738,-5386.719
122,0.0749284391,0.011751294,0.0210465212,-5445.03529
123,0.0755570163,0.011123037,0.0210665806,-5503.44906
124,0.0761856355,0.010494695,0.0210852483,-5561.9565
125,0.0768142978,0.00986627,0.0211025206,-5620.55382
126,0.0774430043,0.009237764,0.021118394,-5679.23722
127,0.0780717538,0.008609181,0.0211328647,-5738.00267
128,0.0787005495,0.007980521,0.021145929,-5796.84656
129,0.0793293905,0.007351788,0.021157583,-5855.76485
130,0.0799582789,0.006722983,0.0211678231,-5914.75379
131,0.0805872148,0.006094109,0.0211766453,-5973.80943
132,0.0812161996,0.0054651677,0.0211840458,-6032.92795
133,0.0818452335,0.0048361622,0.0211900206,-6092.10536
134,0.0824743176,0.0042070945,0.0211945657,-6151.33779
135,0.0831034527,0.0035779671,0.0211976773,-6210.62128
136,0.0837326396,0.0029487824,0.0211993511,-6269.95192
137,0.0843618793,0.0023195428,0.0211995832,-6329.32573
138,0.0849911725,0.0016902508,0.0211983694,-6388.73877
139,0.08562052,0.0010609089,0.0211957056,-6448.18705
140,0.0862499229,0.0004315195,0.0211915874,-6507.66659
141,0.0868793818,-0.0001979147,0.0211860107,-6567.17337
142,0.0875088976,-0.0008273912,0.0211789711,-6626.70338
143,0.0881384713,-0.0014569074,0.0211704644,-6686.2526
144,0.0887681037,-0.0020864607,0.021160486,-6745.81698
145,0.0893977956,-0.0027160484,0.0211490315,-6805.39247
146,0.0900275479,-0.0033456679,0.0211360965,-6864.97501
147,0.0906573616,-0.0039753165,0.0211216764,-6924.5605
148,0.0912872375,-0.0046049914,0.0211057665,-6984.14486
149,0.0919171764,-0.0052346898,0.0210883622,-7043.72396
150,0.0925471793,-0.0058644091,0.0210694588,-7103.2937
151,0.0931772472,-0.0064941464,0.0210490515,-7162.84993
152,0.0938073808,-0.0071238988,0.0210271354,-7222.3885
153,0.0944375811,-0.0077536634,0.0210037058,-7281.90523
154,0.0950678491,-0.0083834374,0.0209787576,-7341.39596
155,0.0956981857,-0.0090132179,0.0209522858,-7400.85649
156,0.0963285917,-0.0096430018,0.0209242854,-7460.28259
157,0.0969590682,-0.0102727861,0.0208947512,-7519.67004
158,0.0975896161,-0.0109025679,0.0208636779,-7579.0146
159,0.0982202364,-0.0115323441,0.0208310604,-7638.31202
160,0.0988509299,-0.0121621115,0.0207968933,-7697.558
161,0.0994816979,-0.0127918671,0.0207611712,-7756.74828
162,0.100112541,-0.0134216077,0.0207238885,-7815.87853
163,0.100743461,-0.01405133,0.0206850398,-7874.94443
164,0.101374457,-0.0146810308,0.0206446193,-7933.94164
