,panel,xm,ym,ds,theta,Qy,Qx,qs
124,upper,0.104800956,0.03401144445,0.0006286194,3.11189193241126,3.6851330993161643e-06,1.32061674757045e-06,3252.6059582804714
125,upper,0.1041725725,0.03402941445,0.0006286620999999,3.1141145095943203,3.6915331853471155e-06,1.3338776728595874e-06,3286.8733848096795
126,upper,0.103544107,0.0340459873,0.0006287058,3.116342256104026,3.6975385963603786e-06,1.3471499393983668e-06,3321.1911231957683
127,upper,0.1029155625,0.0340611593499999,0.0006287500999999,3.1185755747759427,3.703149233110942e-06,1.3604326805583284e-06,3355.556917246647
128,upper,0.1022869409999999,0.03407492685,0.0006287954,3.120814458941195,3.7083649997874515e-06,1.3737250356499419e-06,3389.9685260871684
129,upper,0.1016582445,0.034087286,0.0006288413999999,3.123059085901879,3.7131857976400557e-06,1.3870261350989674e-06,3424.423685812458
130,upper,0.1010294755,0.0340982330499999,0.0006288883,3.125309076148267,3.7176115295679923e-06,1.4003351110369856e-06,3458.9201368822846
131,upper,0.100400636,0.0341077642,0.0006289359999999,3.127565008417452,3.721642097379636e-06,1.413651090919263e-06,3493.4556076111885
132,upper,0.09977172835,0.03411587555,0.0006289846,3.129826597698297,3.725277403420139e-06,1.4269732016863283e-06,3528.0278249423654
133,upper,0.09914275495,0.0341225632,0.0006290337999999,3.132094135193571,3.7285173482911445e-06,1.4403005612842533e-06,3562.6344924401737
134,upper,0.09851371835,0.03412782315,0.0006290840999999,3.134367642809865,3.731361835317421e-06,1.4536322955408275e-06,3597.273334092776
135,upper,0.0978846207999999,0.0341316515,0.0006291350999999,3.13664679583748,3.733810765596919e-06,1.4669675191536794e-06,3631.9420449619097
136,upper,0.0972554647499999,0.0341340442,0.0006291869,3.13893239174378,3.735864040765005e-06,1.4803053461810895e-06,3666.6383184127694
137,upper,0.0966262526,0.03413499715,0.0006292396999999,3.1412237957024782,3.7375215629749873e-06,1.493644892123985e-06,3701.359851547843
138,upper,0.0959969868,0.0341345063,0.0006292930999999,-3.139663821672773,3.738783233223461e-06,1.5069852612298739e-06,3736.1043121653834
139,upper,0.09536766985,0.0341325675,0.0006293476,-3.137360003431956,3.7396489536269075e-06,1.520325565500811e-06,3770.869388239766
140,upper,0.0947383042,0.0341291765,0.0006294027999999,-3.1350495798891096,3.7401186254602494e-06,1.5336649055432855e-06,3805.6527380536695
141,upper,0.0941088924,0.03412432905,0.0006294588999999,-3.132733023641953,3.740192150297158e-06,1.5470023832787476e-06,3840.4520233053836
142,upper,0.09347943705,0.0341180209,0.0006295159,-3.1304098587562086,3.739869429640867e-06,1.5603370976949962e-06,3875.2648980417525
143,upper,0.0928499407,0.03411024775,0.0006295736999999,-3.1280804004132405,3.739150365007262e-06,1.5736681426883732e-06,3910.089003023182
144,upper,0.09222040595,0.0341010052,0.0006296324,-3.125744012132884,3.7380348578542024e-06,1.5869946112287076e-06,3944.9219765954576
145,upper,0.0915908354499999,0.03409028875,0.0006296918999999,-3.1234010078454206,3.736522809841852e-06,1.6003155910530142e-06,3979.761443439112
146,upper,0.0909612318499999,0.034078094,0.0006297523,-3.1210513891135543,3.7346141224787807e-06,1.613630168952852e-06,4014.605025775539
147,upper,0.0903315978,0.0340644164499999,0.0006298136999999,-3.1186948345356966,3.7323086968705894e-06,1.626937430697705e-06,4049.450343180256
148,upper,0.08970193605,0.03404925145,0.0006298757999999,-3.116331180411487,3.729606435247571e-06,1.6402364524798595e-06,4084.2949901787674
149,upper,0.0890722494,0.03403259435,0.0006299389999999,-3.1139605836994324,3.7265072383084627e-06,1.6535263156922518e-06,4119.136574947678
150,upper,0.08844254055,0.0340144405,0.0006300029,-3.111582893766971,3.7230110085901404e-06,1.6668060900288708e-06,4153.9726750395785
151,upper,0.08781281225,0.03399478515,0.0006300678999999,-3.1091979377183523,3.719117646563814e-06,1.6800748502895299e-06,4188.800881438758
152,upper,0.0871830674,0.03397362345,0.0006301336,-3.1068055551141747,3.7148270551697903e-06,1.6933316594450088e-06,4223.618754132923
153,upper,0.0865533089,0.0339509506,0.0006302002999999,-3.104406061666773,3.7101391356186e-06,1.7065755834044037e-06,4258.423860867896
154,upper,0.0859235396,0.0339267617,0.000630268,-3.1019988282164297,3.705053789025028e-06,1.7198056846181065e-06,4293.213760369298
155,upper,0.08529376235,0.0339010517,0.0006303365999999,-3.099584007180724,3.6995709172786522e-06,1.7330210198762716e-06,4327.985996552112
156,upper,0.08466398015,0.0338738155999999,0.000630406,-3.0971615841514684,3.693690423391042e-06,1.7462206403407432e-06,4362.738098585775
157,upper,0.08403419605,0.0338450483,0.0006304765,-3.094731247415152,3.687412207796847e-06,1.7594035998476855e-06,4397.467602753432
158,upper,0.083404413,0.03381474455,0.0006305479,-3.092292845834058,3.6807361728296773e-06,1.7725689443282636e-06,4432.172024611041
159,upper,0.082774634,0.03378289915,0.0006306202999999,-3.0898466808157745,3.673662219893071e-06,1.7857157181082247e-06,4466.848875574169
160,upper,0.0821448622,0.03374950685,0.0006306936,-3.0873922677180867,3.6661902516735124e-06,1.7988429596904e-06,4501.495651796574
161,upper,0.0815151007,0.0337145622499999,0.0006307678999999,-3.084929622973501,3.658320169866372e-06,1.8119497058190467e-06,4536.109844895176
162,upper,0.0808853525999999,0.03367805985,0.0006308431,-3.08245841256421,3.6500518775463136e-06,1.8250349872436986e-06,4570.688930771709
163,upper,0.08025562115,0.03363999415,0.00063092,-3.079978942641974,3.6413852671520238e-06,1.8380978473574023e-06,4605.23041887852
164,upper,0.0796259096,0.03360035955,0.0006309959999999,-3.0774905892276783,3.632320267317204e-06,1.8511372717362687e-06,4639.731665899023
165,upper,0.07899622115,0.0335591503,0.0006310759999999,-3.0749935110347577,3.6228567369200013e-06,1.8641523431327943e-06,4674.190285752785
166,upper,0.07836655905,0.03351636075,0.000631154,-3.072487856088016,3.6129946230922767e-06,1.8771420163760144e-06,4708.603553920012
167,upper,0.07773692665,0.0334719849999999,0.0006312349999999,-3.0699726649780974,3.6027337975888577e-06,1.8901053451399194e-06,4742.96900776616
168,upper,0.0771073274,0.0334260171,0.000631316,-3.0674487159261195,3.592074179337418e-06,1.9030413170858727e-06,4777.284009925453
169,upper,0.07647776465,0.0333784511,0.0006313989999999,-3.064915254414517,3.58101565436023e-06,1.9159489566173658e-06,4811.546020635238
170,upper,0.0758482418,0.0333292808999999,0.000631483,-3.062372549504464,3.5695581252021615e-06,1.9288272632087724e-06,4845.752434214886
171,upper,0.07521876245,0.0332785002499999,0.0006315669999999,-3.059819810996672,3.557701513576542e-06,1.9416752114924196e-06,4879.900579154099
172,upper,0.07458933005,0.03322610285,0.0006316529999999,-3.057257710033658,3.5454457045813413e-06,1.9544918122965505e-06,4913.987880315158
173,upper,0.0739599482,0.03317208235,0.00063174,-3.054685379297842,3.532790601856453e-06,1.9672760514697952e-06,4948.011696404596
174,upper,0.07333062055,0.03311643225,0.000631828,-3.052103202472912,3.5197361094729954e-06,1.980026910168207e-06,4981.969373861385
175,upper,0.07270135065,0.033059146,0.0006319169999999,-3.049510667111457,3.506282131871718e-06,1.9927433648116183e-06,5015.858246746282
176,upper,0.0720721423,0.0330002169,0.000632007,-3.046907744658351,3.4924285740225996e-06,2.0054243869767095e-06,5049.6756364544235
177,upper,0.07144299925,0.03293963815,0.0006320999999999,-3.0442941657731315,3.4781752962968158e-06,2.0180689833297457e-06,5083.418958285703
178,upper,0.0708139252499999,0.0328774028,0.000632192,-3.041669729818701,3.463522248504842e-06,2.030676075370287e-06,5117.085400608963
179,upper,0.07018492415,0.03281350385,0.0006322859999999,-3.039034454166004,3.4484693133762466e-06,2.0432446395353087e-06,5150.67229866938
180,upper,0.0695559999,0.0327479342,0.000632381,-3.0363879774961005,3.433016396821135e-06,2.05577362710695e-06,5184.176920855661
181,upper,0.06892715645,0.03268068655,0.000632478,-3.0337300367936977,3.4171633803181043e-06,2.0682620038225597e-06,5217.596574558778
182,upper,0.06829839775,0.0326117535,0.0006325749999999,-3.031060584834007,3.4009101954822588e-06,2.0807086904941864e-06,5250.928447308694
183,upper,0.06766972785,0.03254112755,0.0006326749999999,-3.028379327373527,3.384256697548607e-06,2.093112661515182e-06,5284.169870461181
184,upper,0.06704115085,0.0324688010499999,0.000632775,-3.0256860752374792,3.3672028195679643e-06,2.1054728266948325e-06,5317.318002759953
185,upper,0.06641267095,0.0323947661999999,0.000632877,-3.0229805173723627,3.3497484421182653e-06,2.1177881293143004e-06,5350.370093045534
186,upper,0.06578429235,0.0323190151,0.0006329799999999,-3.0202626576817435,3.3318934729025922e-06,2.1300574873037505e-06,5383.3233225830445
187,upper,0.0651560193,0.03224153965,0.000633085,-3.017531854283678,3.3136377916247252e-06,2.142279832013807e-06,5416.174909127052
188,upper,0.0645278562,0.03216233165,0.000633191,-3.014788385622194,3.2949813065023375e-06,2.15445406936809e-06,5448.922002585489
189,upper,0.0638998074,0.03208138275,0.0006332979999999,-3.012031532791184,3.2759239266584233e-06,2.1665790992136063e-06,5481.5617369623
190,upper,0.0632718773,0.03199868435,0.000633408,-3.0092612211506573,3.2564655007150807e-06,2.1786538532747087e-06,5514.09133261884
191,upper,0.0626440705,0.0319142277499999,0.0006335179999999,-3.0064771422442607,3.2366059686404637e-06,2.190677199506398e-06,5546.507838720109
192,upper,0.0620163916,0.0318280041,0.0006336299999999,-3.003679145474956,3.2163452094067054e-06,2.202648037460813e-06,5578.808390083324
193,upper,0.0613888452,0.03174000435,0.000633744,-3.000866769012187,3.195683101178062e-06,2.21456525984364e-06,5610.990103702809
194,upper,0.06076143605,0.0316502193,0.000633859,-2.9980399537394185,3.174619554640319e-06,2.2264277336789347e-06,5643.050027851454
195,upper,0.06013416895,0.0315586395,0.0006339759999999,-2.99519797102947,3.1531544478295466e-06,2.2382343377375154e-06,5674.9852431683175
196,upper,0.05950704875,0.0314652552999999,0.000634095,-2.992340917092772,3.1312876581434246e-06,2.249983943491752e-06,5706.792811281227
197,upper,0.05888008045,0.03137005695,0.000634216,-2.9894683317333066,3.1090190624404445e-06,2.2616754150259287e-06,5738.469774567652
198,upper,0.0582532689999999,0.03127303435,0.0006343379999999,-2.986579625547351,3.0863485727512225e-06,2.2733075904502735e-06,5770.01310578143
199,upper,0.0576266195,0.0311741773,0.000634462,-2.983675023601803,3.0632760661536215e-06,2.2848793186834223e-06,5801.419807714897
200,upper,0.0570001371999999,0.03107347535,0.0006345869999999,-2.980753470336208,3.0398014563494035e-06,2.2963894225990565e-06,5832.686813275541
201,upper,0.05637382735,0.0309709177,0.000634716,-2.9778149527919924,3.0159245457010356e-06,2.307836771328182e-06,5863.811181920402
202,upper,0.0557476953,0.0308664935,0.0006348459999999,-2.9748593020902674,2.9916452472516346e-06,2.3192201713719493e-06,5894.789803868658
203,upper,0.05512174645,0.03076019155,0.000634978,-2.9718855996931843,2.966963436793784e-06,2.330538438903208e-06,5925.619596532449
204,upper,0.0544959864,0.03065200035,0.0006351119999999,-2.9688937534787434,2.9418789899935638e-06,2.3417903814096115e-06,5956.297454667188
205,upper,0.0538704208,0.0305419082,0.000635248,-2.9658832379756683,2.9163917824275274e-06,2.352974797537793e-06,5986.820249963017
206,upper,0.0532450553,0.0304299031,0.0006353859999999,-2.9628536783784574,2.8905016895881164e-06,2.364090476873607e-06,6017.184830471068
207,upper,0.0526198958,0.03031597275,0.0006355269999999,-2.9598044156735703,2.864208545675822e-06,2.3751362171023922e-06,6047.388067545012
208,upper,0.0519949482999999,0.03020010455,0.000635671,-2.9567351576692618,2.8375121831658645e-06,2.38611080606028e-06,6077.426806928318
209,upper,0.05137021875,0.0300822856,0.000635816,-2.9536453351154965,2.8104125180273796e-06,2.3970129872078707e-06,6107.297774186994
210,upper,0.05074571335,0.02996250265,0.0006359629999999,-2.950534329703414,2.7829094251467153e-06,2.407841511404207e-06,6136.997716349283
211,upper,0.0501214383999999,0.02984074215,0.000636115,-2.9474018183793658,2.7550026481575864e-06,2.418595170019832e-06,6166.523493045007
212,upper,0.0494974003,0.0297169901499999,0.0006362679999999,-2.9442468727196607,2.726692103485571e-06,2.4292726756952796e-06,6195.871749393563
213,upper,0.0488736056,0.0295912323,0.0006364229999999,-2.9410691470025982,2.6979776648429156e-06,2.4398727473087796e-06,6225.039149033308
214,upper,0.0482500609,0.02946345395,0.0006365829999999,-2.9378680824569634,2.668859069287639e-06,2.450394142309166e-06,6254.022463423089
215,upper,0.047626773,0.02933364,0.0006367449999999,-2.9346427842878637,2.639336188070413e-06,2.4608355564495352e-06,6282.81829598718
216,upper,0.0470037489,0.02920177495,0.0006369089999999,-2.9313928464781127,2.60940889328535e-06,2.4711956738427076e-06,6311.423219731155
217,upper,0.04638099565,0.0290678429,0.000637077,-2.928117477747341,2.579076962687402e-06,2.4814731989363067e-06,6339.833865674885
218,upper,0.04575852045,0.02893182735,0.000637249,-2.924815594963042,2.5483401712831914e-06,2.4916668230143918e-06,6368.046830633174
219,upper,0.0451363308,0.02879371145,0.0006374229999999,-2.921487080240992,2.5171983892453103e-06,2.501775192196776e-06,6396.058588572571
220,upper,0.04451443415,0.0286534779,0.0006376019999999,-2.918130783126017,2.4856513394794176e-06,2.511796986801577e-06,6423.865710428023
221,upper,0.0438928382,0.0285111087,0.000637783,-2.914745621779175,2.453698890928759e-06,2.5217308256993488e-06,6451.4645991257175
222,upper,0.04327155095,0.0283665854,0.000637969,-2.9113311815113025,2.4213407619124166e-06,2.5315753602694607e-06,6478.85175032788
223,upper,0.04265058045,0.02821988905,0.0006381579999999,-2.907886406651224,2.388576769422619e-06,2.5413291958595964e-06,6506.023534400855
224,upper,0.042029935,0.02807100005,0.0006383529999999,-2.9044102893366,2.355406574454298e-06,2.550990968159804e-06,6532.976409075889
225,upper,0.04140962305,0.0279198981,0.00063855,-2.900901703486681,2.321830042746555e-06,2.560559235997313e-06,6559.706620768825
